               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.018054,            0.014619,           0.0019588,             0.83082,             0.78496,              0.8339,             0.64597,             0.01831,             0.01022,           0.0034773,            0.005182,            0.005182,            0.005182
                 148,            0.018618,            0.015769,            0.001943,             0.89284,              0.7934,             0.86299,             0.66821,            0.018095,           0.0091904,           0.0024864,            0.005149,            0.005149,            0.005149
                 149,             0.01718,            0.014157,           0.0019407,             0.87207,             0.83056,             0.86545,             0.67302,            0.018788,           0.0093424,           0.0020797,            0.005116,            0.005116,            0.005116
                 150,            0.017726,            0.015376,           0.0017956,             0.92496,             0.77837,             0.86079,             0.66659,            0.019163,            0.009757,           0.0034454,            0.005083,            0.005083,            0.005083
                 151,            0.017294,            0.015091,           0.0013007,             0.90297,              0.7448,             0.85169,             0.67221,            0.019004,            0.010143,           0.0052549,             0.00505,             0.00505,             0.00505
                 152,            0.018788,            0.015815,           0.0015722,             0.84606,              0.7839,             0.83798,             0.66159,            0.019068,            0.010316,           0.0031416,            0.005017,            0.005017,            0.005017
                 153,            0.017653,            0.015177,           0.0016587,              0.8503,             0.77121,             0.83989,             0.66049,            0.019486,            0.010373,           0.0036994,            0.004984,            0.004984,            0.004984
                 154,            0.017561,            0.014146,           0.0020531,             0.86036,             0.71024,             0.80634,             0.61612,            0.020819,            0.010655,           0.0090641,            0.004951,            0.004951,            0.004951
                 155,            0.018485,            0.015814,           0.0025528,              0.7967,              0.7549,               0.801,             0.61686,            0.020154,             0.01083,           0.0070814,            0.004918,            0.004918,            0.004918
                 156,            0.018595,            0.015254,            0.004438,              0.8295,             0.81519,             0.82453,              0.6432,            0.018993,           0.0093956,           0.0050278,            0.004885,            0.004885,            0.004885
